srNo,timestamp,ax,ay,az,gx,gy,gz,temp
17504,1661558124669,-1.3407,0.2902,0.5903,-6.3,10.53,-2.8,
17505,1661558124669,-1.3734,0.2604,0.5209,1.89,3.1,-2.27,
17506,1661558124670,-1.1791,0.1281,-0.0494,-1.01,-0.62,-8.01,
17507,1661558124670,-1.2616,0.2663,0.497,-1.89,17.57,-6.82,
17508,1661558124671,-1.2211,0.216,0.331,-0.61,12.99,-10.2,
17509,1661558124671,-1.1762,0.2448,0.0605,-0.49,14.79,-11.1,
17510,1661558124672,-1.1508,0.2775,0.2538,-1.91,12.91,-11.56,
17511,1661558124672,-1.079,0.2555,0.3119,-1.1,7.92,-10.39,
17512,1661558124672,-0.9862,0.1838,-0.0592,-4.9,6.64,-10.2,
17513,1661558124673,-1.0082,0.1384,-0.0396,-1.6,13.94,-4.63,
17514,1661558124673,-0.9862,0.1994,0.0483,1.69,13.59,-12.57,
17515,1661558124674,-0.9154,0.1281,0.0829,-1.08,11.83,-10.83,
17516,1661558124674,-0.9545,0.0304,-0.0269,-1.2,7.24,-8.92,
17517,1661558124675,-0.8759,0.0348,-0.1075,0.0,0.66,-7.0,
17518,1661558124675,-0.8983,0.0085,0.0907,3.1,3.51,-5.73,
17519,1661558124676,-0.8642,0.0651,0.2353,3.1,5.22,-2.36,
17520,1661558124676,-0.911,0.1183,0.142,2.08,2.75,-3.08,
17521,1661558124677,-0.9398,0.0929,0.2743,-0.2,7.25,-1.35,
17522,1661558124677,-0.6566,0.0158,0.1401,1.4,1.15,0.29,
17523,1661558124677,-0.7982,0.1349,0.0805,2.58,6.31,-0.26,
17524,1661558124678,-0.7699,0.3395,0.3998,2.59,15.02,-1.17,
17525,1661558124678,-0.744,0.2121,-0.0108,9.81,0.83,-4.45,
17526,1661558124679,-0.56,0.1633,-0.1934,8.9,10.64,-6.28,
17527,1661558124679,-0.745,0.4884,0.1342,9.9,3.12,-9.01,
